ensembl_gene_id	ensembl_transcript_id	start	end	HGNC_gene_symbol	swissprot_id
ENSG00000000003	ENST00000373020	113	847	TSPAN6	O43657
ENSG00000000005	ENST00000373031	84	1035	TNMD	Q9H2S6
ENSG00000000419	ENST00000371584	10	894	DPM1	O60762
ENSG00000000457	ENST00000367770	49	2274	SCYL3	Q8IZE3
ENSG00000000460	ENST00000359326	357	2916	C1orf112	Q9NSG2
ENSG00000000938	ENST00000374005	198	1784	FGR	P09769
ENSG00000000971	ENST00000367429	76	3769	CFH	P08603
ENSG00000001036	ENST00000002165	87	1487	FUCA2	Q9BTY2
ENSG00000001084	ENST00000643939	1	1917	GCLC	P48506
ENSG00000001167	ENST00000341376	173	1214	NFYA	P23511
ENSG00000001460	ENST00000337248	178	1179	STPG1	Q5TH74
ENSG00000001461	ENST00000374399	361	1579	NIPAL3	Q6P499
ENSG00000001497	ENST00000374811	73	2274	LAS1L	Q9Y4W2
ENSG00000001561	ENST00000321037	235	1594	ENPP4	Q9Y6X5
ENSG00000001617	ENST00000002829	290	2645	SEMA3F	Q13275
ENSG00000001626	ENST00000003084	71	4511	CFTR	P13569
ENSG00000001629	ENST00000265742	637	3904	ANKIB1	Q9P2G1
ENSG00000001630	ENST00000003100	114	1640	CYP51A1	Q16850
ENSG00000001631	ENST00000394507	785	2992	KRIT1	O00522
ENSG00000002016	ENST00000358495	112	1365	RAD52	P43351
ENSG00000002330	ENST00000394532	272	775	BAD	Q92934
ENSG00000002549	ENST00000226299	269	1826	LAP3	P28838
ENSG00000002586	ENST00000381192	67	622	CD99	P14209
ENSG00000002587	ENST00000002596	305	1225	HS3ST1	O14792
ENSG00000002726	ENST00000416793	61	2371	AOC1	P19801
ENSG00000002745	ENST00000222462	294	1389	WNT16	Q9UBV4
ENSG00000002746	ENST00000395891	558	5376	HECW1	Q76N89
ENSG00000002822	ENST00000399654	330	2483	MAD1L1	Q9Y6D9
ENSG00000002834	ENST00000318008	133	916	LASP1	Q14847
ENSG00000002919	ENST00000393405	355	1165	SNX11	Q9Y5W9
ENSG00000002933	ENST00000484928	582	1287	TMEM176A	Q96HP8
ENSG00000003056	ENST00000000412	160	990	M6PR	P20645
ENSG00000003096	ENST00000469946	41	2014	KLHL13	Q9P2N7
ENSG00000003137	ENST00000001146	29	1564	CYP26B1	Q9NR63
ENSG00000003147	ENST00000422063	1	1536	ICA1	Q05084
ENSG00000003249	ENST00000304733	75	608	DBNDD1	Q9H9R9
ENSG00000003393	ENST00000680497	259	5331	ALS2	Q96Q42
ENSG00000003400	ENST00000286186	176	1742	CASP10	Q92851
ENSG00000003402	ENST00000309955	456	1896	CFLAR	O15519
ENSG00000003436	ENST00000392365	29	940	TFPI	P10646
ENSG00000003509	ENST00000002125	49	1372	NDUFAF7	Q7L592
ENSG00000003756	ENST00000347869	165	2610	RBM5	P52756
ENSG00000003987	ENST00000180173	60	2039	MTMR7	Q9Y216
ENSG00000003989	ENST00000004531	49	2143	SLC7A2	P52569
ENSG00000004059	ENST00000000233	89	629	ARF5	P84085
ENSG00000004139	ENST00000585482	340	2512	SARM1	Q6SZW1
